Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2806,479,479,44026,41434,0.71,340,52729,49388,0.14,67,2863,1052,479,47361,43069,479,2597,595,0.11,54,124454,39476,0.11,55,103079,33637,0.68,326,13663,9194,523,115915,55309
2807,190,190,39400,37745,0.66,125,42073,39384,0.14,27,2008,850,190,41751,38858,190,2160,452,0.13,24,84390,27522,0.12,22,81586,32162,0.68,129,8972,6594,206,80535,34886
2808,62,62,38764,36672,0.66,41,47152,41774,0.16,10,3803,3545,62,40056,39919,62,1118,316,0.16,10,65538,49549,0.16,10,72196,41728,0.63,39,10583,8292,83,88392,38741
2809,105,105,52027,39495,0.64,67,48377,45749,0.09,9,4824,-2200,105,56272,40280,105,3610,374,0.13,14,187065,98374,0.14,15,212129,102051,0.65,68,21688,12080,125,149937,50096
2810,1622,1622,37670,35010,0.63,1026,48296,44868,0.13,211,4504,1563,1622,40088,36539,1622,2289,360,0.09,154,87490,38482,0.10,156,83114,33604,0.63,1025,11947,7826,1725,150523,57298
2820,3221,3221,43340,39139,0.74,2396,51937,47405,0.11,359,2556,1610,3221,45806,41209,3221,2088,558,0.09,283,132991,36775,0.09,275,128212,25955,0.67,2174,12434,8447,3540,102738,36134
2821,2578,2578,44579,41018,0.73,1891,52650,47880,0.12,308,2813,1126,2578,47244,42956,2578,2173,388,0.09,224,88606,34657,0.09,221,87332,27823,0.69,1783,13319,9128,2790,127450,48029
2823,743,743,37725,40054,0.70,523,50216,44204,0.17,129,5068,2942,743,40727,41722,743,2331,304,0.09,69,131014,34979,0.09,68,154561,47716,0.66,492,14409,9885,796,138917,50384
2824,1140,1140,43381,40378,0.71,804,52366,49274,0.14,164,1225,1350,1140,46775,42933,1140,2985,649,0.10,111,84123,47304,0.10,112,86949,32249,0.69,784,14351,9523,1294,143608,48986
2825,1288,1288,46407,43609,0.75,961,60935,53943,0.13,172,2842,1832,1288,49466,47413,1288,2476,692,0.10,126,120445,44110,0.09,118,135653,31782,0.71,909,15165,10806,1411,115216,48052
2827,1822,1822,37655,35972,0.71,1295,49865,46015,0.12,210,3563,845,1822,39860,37940,1822,1977,300,0.10,184,104401,38598,0.10,189,106238,33518,0.63,1142,13330,8780,2002,102484,41712
2828,363,363,30572,29303,0.63,229,43350,42875,0.16,59,1935,622,363,34915,34176,363,2796,220,0.15,54,86979,48358,0.15,55,97451,49361,0.62,226,12140,6984,398,138532,32525
2829,1496,1496,53416,39619,0.72,1078,50871,47071,0.13,196,850,1131,1496,56802,41716,1496,2399,300,0.09,129,175466,45083,0.09,133,179039,35450,0.67,996,24131,9032,1668,127810,37449
2830,25232,25232,56437,49674,0.83,21017,58055,52922,0.13,3200,2724,774,25232,58864,51631,25232,2293,668,0.08,2000,102174,36162,0.08,1960,82253,24151,0.79,19844,15138,10321,27814,125069,46740
2831,1291,1291,27633,33950,0.65,843,53572,48751,0.14,184,3634,1933,1291,30370,35589,1291,2018,208,0.14,176,142732,45842,0.14,176,154865,49635,0.60,780,12482,8591,1409,100878,44921
2832,1124,1124,25787,39638,0.73,817,53236,48587,0.14,152,1765,-85,1124,29095,41952,1124,2038,309,0.08,93,156313,36000,0.08,94,179428,34478,0.67,748,12945,8866,1347,85093,22921
2833,253,253,40531,40101,0.74,187,52567,49699,0.13,32,1990,31,253,42561,42120,253,1914,300,0.10,25,104821,73053,0.09,23,116526,69976,0.68,173,12593,10031,301,89032,25089
2834,873,873,40316,34505,0.74,644,46048,37986,0.12,109,3933,667,873,41853,35410,873,1390,270,0.10,91,79103,26522,0.11,94,64663,22704,0.65,570,10930,6238,1075,51537,21446
2835,2095,2095,66460,55682,0.82,1712,71238,61980,0.14,297,-1324,-243,2095,69218,58082,2095,2123,621,0.08,164,98717,46662,0.08,161,79598,33325,0.78,1624,20340,15173,2462,118820,55818
2836,311,311,50521,43229,0.74,231,53690,45300,0.07,23,77,620,311,54384,45754,311,1879,300,0.14,43,73218,36519,0.12,38,67441,23192,0.71,221,14062,9056,399,80923,27083
2839,489,489,44356,45274,0.80,390,53480,51218,0.12,59,-1573,1311,489,46509,46944,489,1848,300,0.10,49,110558,27354,0.09,43,132901,34918,0.73,357,12280,9332,635,71060,21160
2840,1326,1326,54307,48141,0.76,1009,58664,53354,0.15,193,1074,114,1326,58777,51724,1326,2520,508,0.11,140,169082,40168,0.10,136,145683,30904,0.76,1006,15355,10776,1605,85484,32509
2842,286,286,34403,26012,0.57,163,48988,44112,0.11,32,-487,1024,286,37512,26915,286,1482,25,0.15,42,138930,38168,0.15,44,147441,36521,0.52,150,13541,7414,310,74846,32438
2843,678,678,38287,33299,0.69,468,48122,42854,0.15,105,1188,0,678,41644,35394,678,2310,348,0.13,86,97879,26886,0.12,82,107318,31038,0.63,427,11738,7158,705,135488,48896
2844,676,676,39881,35236,0.71,477,49653,43107,0.13,86,1511,901,676,42483,37453,676,2188,348,0.12,79,124012,35384,0.12,83,110716,36660,0.65,437,13617,8096,688,99844,43374
2845,1065,1065,60337,49448,0.84,898,65715,56794,0.08,80,-1311,702,1065,62401,51362,1065,2062,894,0.07,74,141385,29365,0.07,74,127593,30532,0.78,828,17183,12067,1218,130520,60118
2846,131,131,51594,39841,0.65,85,59738,50631,0.12,16,8229,3022,131,54003,43179,131,2409,490,0.17,22,127343,29210,0.17,22,109633,16699,0.69,91,14629,10620,165,144202,59574
2847,1149,1149,55207,44139,0.81,929,61614,51196,0.09,100,-1361,-210,1149,57018,44999,1149,1734,715,0.08,87,69279,33485,0.08,91,57985,19417,0.74,855,15283,9671,1357,134760,58655
2848,543,543,44909,36290,0.73,394,53047,44221,0.08,42,2502,1954,543,46893,37102,543,1960,450,0.08,46,57047,36042,0.09,49,41215,14735,0.65,351,12650,7557,678,114836,44781
2849,809,809,45006,33199,0.65,527,60884,48051,0.16,132,1623,636,809,47720,35956,809,2197,413,0.19,151,91373,26660,0.19,150,92709,29066,0.60,487,16599,9088,853,143167,66453
2850,10455,10455,60574,45941,0.79,8281,67968,52843,0.16,1629,2231,563,10455,63308,48136,10455,2489,774,0.11,1108,93170,31248,0.11,1101,82274,23748,0.74,7737,19125,11121,11497,136029,59539
2852,1889,1889,51812,40599,0.78,1468,64920,50570,0.12,236,2622,717,1889,54284,42883,1889,2251,650,0.09,178,107632,31863,0.10,185,109182,34853,0.69,1294,17278,10330,2103,109504,54717
2864,464,464,49744,44478,0.71,329,59075,53238,0.13,62,3693,1779,464,52534,45934,464,2383,452,0.12,54,88115,47359,0.11,53,82264,46536,0.70,327,15616,10234,500,121492,65104
2865,466,466,48306,44497,0.74,343,57627,57128,0.12,56,5034,2608,466,50443,46696,466,1923,631,0.09,44,167882,70847,0.09,44,161071,44972,0.74,346,13507,10566,525,124283,69092
2866,1654,1654,49867,42430,0.73,1213,57384,51718,0.16,267,4104,1115,1654,53695,45076,1654,3433,646,0.11,174,85249,34023,0.11,175,79446,29808,0.71,1175,15649,9636,1745,142533,61598
2867,301,301,42798,36464,0.68,205,49127,44429,0.17,52,4911,3843,301,46372,38430,301,3135,516,0.16,47,264191,36087,0.15,44,287370,25477,0.66,200,12124,8184,335,120146,52764
2868,348,348,28163,27054,0.67,234,44445,40102,0.16,54,1680,697,348,32069,28441,348,2066,237,0.09,32,267794,61344,0.09,33,270841,64577,0.53,186,9817,6954,373,149461,42132
2869,714,714,35712,35130,0.67,480,51615,46571,0.13,91,5428,3098,714,38306,36072,714,2021,298,0.10,71,96831,40352,0.11,77,91602,45276,0.62,444,15494,8450,765,105926,36802
2870,6479,6479,53147,45063,0.79,5127,59477,51430,0.14,875,1983,552,6479,55424,47493,6479,2138,756,0.08,510,83452,36996,0.08,503,71605,22714,0.74,4810,15098,9839,7129,126543,54851
2871,4967,4967,47463,42232,0.75,3715,54513,48845,0.13,630,2592,1501,4967,50310,44576,4967,2330,621,0.10,480,129987,38520,0.10,482,127724,26158,0.71,3550,14416,8917,5450,124537,47344
2873,375,375,9822,23303,0.56,209,48851,46654,0.11,43,6035,1534,375,14049,24775,375,2542,115,0.15,55,87437,38124,0.14,53,125584,90130,0.51,190,9491,6906,366,119771,48016
2874,256,256,22034,26412,0.61,155,47538,42455,0.10,25,4598,1231,256,24755,29215,256,2277,169,0.14,35,82650,37914,0.13,33,108656,46794,0.50,128,11169,8229,249,128205,46399
2875,476,476,29953,30445,0.60,287,48931,40200,0.10,46,4851,1910,476,33052,32382,476,2245,244,0.14,68,65647,28164,0.13,61,72300,25443,0.57,270,11754,8011,485,117955,42115
2876,239,239,14875,22400,0.57,137,49299,40960,0.08,19,8157,3711,239,17299,23680,239,1342,48,0.13,32,120923,70084,0.14,33,156326,79470,0.49,116,10594,6133,258,101122,26699
2877,1863,1863,35999,38222,0.71,1332,52423,47216,0.09,166,4381,1478,1863,37921,39907,1863,1551,314,0.09,169,88475,42370,0.09,160,105472,37650,0.66,1228,12819,8797,2036,106900,35145
2878,169,169,54965,41787,0.56,94,43950,39811,0.11,19,12601,5286,169,60586,45120,169,3798,322,0.11,18,283060,74917,0.11,18,219977,64923,0.67,114,21030,11078,174,141257,35775
2879,224,224,62745,50702,0.76,170,59584,53535,0.13,29,1660,1942,224,65498,52186,224,2410,544,0.12,26,65262,29515,0.09,21,72952,45907,0.79,177,17981,10866,315,91031,24886
2880,8808,8808,58404,48991,0.84,7366,61560,53786,0.13,1116,623,332,8808,60347,50988,8808,1806,713,0.06,559,89031,26934,0.06,536,64572,17408,0.77,6795,16043,10981,10615,121523,51206
2898,307,307,53338,45427,0.82,252,46846,41660,0.20,62,8646,4063,307,55286,46959,307,1904,485,0.16,50,125625,29590,0.16,49,103239,12103,0.79,241,12318,7849,331,139000,52038
2900,2405,2405,69255,61553,0.81,1950,71808,67041,0.13,307,-2627,-1760,2405,71106,63543,2405,1824,673,0.05,115,81655,24800,0.05,109,66438,7074,0.86,2058,17994,13689,2479,184431,50724
2902,9940,9940,70111,59627,0.77,7649,73645,67467,0.15,1466,-1560,-1103,9940,72387,61950,9940,2253,732,0.06,630,83821,25654,0.06,609,59253,9525,0.82,8102,19653,14158,10925,201570,92854
2903,6230,6230,69646,60956,0.78,4829,73865,69032,0.16,969,-1393,-745,6230,71911,63407,6230,2247,732,0.06,402,70410,23588,0.06,389,50302,9180,0.82,5116,19248,14479,6727,203666,93848
2904,8762,8762,74719,64328,0.76,6676,77689,71580,0.18,1557,-2093,-1597,8762,77246,66638,8762,2474,768,0.06,502,72357,24097,0.05,479,44419,10074,0.82,7210,21607,15611,9185,225775,112614
2905,18840,18840,68266,61752,0.84,15885,70340,66560,0.13,2521,-2731,-2064,18840,70439,64048,18840,2135,742,0.06,1137,68559,30120,0.06,1084,45297,12495,0.84,15848,18183,14575,20278,163919,75712
2906,11768,11768,70217,64057,0.86,10170,72066,68436,0.14,1601,-3645,-2674,11768,72385,66226,11768,2153,783,0.05,623,90069,23623,0.05,594,67136,10804,0.85,10049,18722,15048,12535,171766,80839
2911,3134,3134,78600,70216,0.85,2649,82809,77089,0.23,731,-5498,-4230,3134,81252,72578,3134,2599,980,0.07,216,69659,24706,0.06,199,42467,13672,0.83,2608,23593,18138,3216,172660,87085
2912,5314,5314,61115,51502,0.88,4673,63476,55239,0.17,900,-3297,-3016,5314,63014,53439,5314,1866,616,0.09,455,57069,18695,0.08,428,43917,8650,0.79,4218,16785,11831,5613,119187,26354
2913,25220,25220,70348,61918,0.86,21568,72411,67157,0.17,4389,-3256,-2444,25220,72598,64232,25220,2216,792,0.07,1839,61790,21050,0.07,1725,42232,9391,0.82,20772,20035,15319,26251,162507,61959
2914,20634,20634,72809,65046,0.89,18392,75985,69989,0.19,3929,-4532,-2998,20634,75021,67032,20634,2147,866,0.08,1554,57511,21613,0.07,1441,40562,10224,0.84,17298,20839,16219,21244,144967,57977
3000,26122,26122,53481,30216,0.82,21489,50076,34580,0.10,2585,524,519,26122,55986,31560,26122,2421,300,0.09,2321,86075,16957,0.07,1871,57693,6570,0.64,16746,20093,8713,40883,61929,1763
3002,3799,3799,143099,72705,0.73,2783,94604,69972,0.19,707,-103,916,3799,150636,76090,3799,7484,1130,0.12,463,196745,37079,0.11,435,113757,13965,0.84,3196,58381,19371,4662,535145,68180
3003,5538,5538,64092,48118,0.87,4815,63375,51259,0.11,634,560,-416,5538,66355,49574,5538,2230,595,0.11,602,57530,13424,0.09,501,40651,6766,0.75,4179,20249,12274,6886,80843,10524
3004,8710,8710,88749,58744,0.77,6681,82099,64457,0.16,1382,808,-81,8710,93931,61543,8710,5107,876,0.10,894,109149,22457,0.09,793,80886,9937,0.79,6847,32761,15578,10299,294807,31352
3006,16466,16466,68827,50125,0.84,13800,68831,54860,0.13,2154,592,-148,16466,71323,51972,16466,2416,624,0.10,1718,65038,14709,0.09,1411,52220,5668,0.75,12409,23221,13053,19438,111393,12890
3008,10809,10809,72250,55010,0.84,9115,72707,61303,0.14,1510,-1578,-1085,10809,74825,57594,10809,2463,795,0.08,855,69521,15120,0.07,740,54799,6248,0.77,8271,24194,14351,11580,113837,14157
3011,14989,14989,62174,51132,0.87,12999,63579,54215,0.13,1881,-1151,-787,14989,64335,53000,14989,2139,783,0.13,1938,44962,18716,0.12,1746,29188,8584,0.79,11884,17446,11837,17596,92113,31468
3012,17157,17157,62099,52309,0.86,14756,64439,56471,0.14,2418,-1738,-1505,17157,64496,54514,17157,2363,918,0.12,2131,61801,21297,0.12,1987,44252,9311,0.80,13694,17165,12038,19955,94247,39169
3013,9860,9860,81261,65443,0.86,8511,81319,69675,0.19,1911,-1865,-1512,9860,84474,68346,9860,3016,1206,0.11,1074,65644,22442,0.10,996,39510,8674,0.85,8351,24852,16772,11607,150873,79996
3015,11448,11448,82045,67405,0.85,9755,83462,71148,0.19,2195,-2189,-1504,11448,85241,70203,11448,3157,1318,0.10,1165,70723,25277,0.09,1080,46516,10413,0.84,9624,25214,17574,13226,169280,90404
3016,10266,10266,91477,61987,0.77,7907,85895,66172,0.22,2266,-791,-358,10266,95268,65446,10266,3707,1095,0.09,921,101064,26500,0.08,860,62476,9678,0.79,8100,33135,17995,11847,282310,119105
3018,8295,8295,71563,57301,0.80,6614,73874,64117,0.19,1596,-199,-496,8295,74337,59831,8295,2755,1011,0.08,698,69970,23177,0.08,655,50084,9862,0.80,6606,22009,14664,9696,183249,82554
3019,5380,5380,47224,40554,0.83,4486,50144,44784,0.12,669,-2197,-2249,5380,48898,42038,5380,1582,560,0.13,692,64520,21790,0.12,639,53990,10977,0.73,3908,11804,8110,6186,51666,15739
3020,25174,25174,48010,41371,0.82,20629,50852,45943,0.12,2967,-333,-967,25174,49743,42848,25174,1702,553,0.13,3230,62301,25082,0.12,2985,48181,11835,0.73,18453,11957,8221,28969,70581,20598
3021,27874,27874,43660,38822,0.81,22472,46660,43584,0.10,2758,-479,-611,27874,45227,40244,27874,1546,490,0.12,3465,47405,27479,0.12,3218,31738,12305,0.71,19801,10199,7268,32164,63893,17343
3022,1974,1974,52109,46160,0.81,1596,56653,51800,0.14,282,-1625,0,1974,54130,48026,1974,1987,721,0.13,252,100669,25409,0.12,238,88566,12475,0.76,1493,13251,9738,2250,88528,32504
3023,35793,35793,55821,48542,0.83,29872,59114,53308,0.16,5658,-3169,-2586,35793,57940,50361,35793,2089,850,0.10,3738,71364,28715,0.10,3535,52563,12864,0.78,27904,14688,10525,39045,87126,38392
3024,17382,17382,56213,50220,0.86,15018,60829,55399,0.09,1648,-3923,-3072,17382,58363,52260,17382,2142,950,0.10,1656,41729,20582,0.09,1541,27207,9384,0.79,13739,14576,10897,18628,70103,30299
3025,6692,6692,65636,54416,0.81,5407,68696,60161,0.17,1149,451,-800,6692,68190,56468,6692,2527,875,0.11,727,85722,28200,0.10,678,66890,14028,0.80,5338,18926,13176,7673,109911,54354
3026,2417,2417,56940,50055,0.86,2077,58730,53896,0.14,350,-3700,-3147,2417,58987,51604,2417,2019,831,0.10,235,66360,22305,0.09,223,50648,12816,0.78,1894,15230,11051,2444,71119,32735
3027,5948,5948,60851,50240,0.83,4948,66390,57392,0.20,1195,-4941,-3836,5948,63121,52004,5948,2219,836,0.14,849,73340,23322,0.13,766,58100,10998,0.77,4592,17712,12300,5995,63456,25551
3028,16940,16940,56934,49560,0.85,14321,59701,54177,0.13,2251,-1208,-1290,16940,59072,51235,16940,2120,830,0.10,1716,44792,23737,0.10,1622,28490,9889,0.78,13269,15132,10748,19756,108609,44936
3029,69056,69056,52021,45618,0.82,56929,56508,51442,0.12,8380,-3928,-3229,69056,53974,47364,69056,1934,734,0.15,10206,51210,23982,0.14,9368,37251,10704,0.75,52013,13560,9768,72157,70601,25416
3030,69759,69759,60876,50829,0.83,58040,64543,56434,0.16,10836,-3378,-2766,69759,63259,52832,69759,2358,872,0.10,6748,65159,24534,0.09,6315,48690,10945,0.78,54380,17265,11956,75106,99751,37461
3031,11931,11931,74176,59663,0.87,10335,73846,63364,0.15,1760,-664,-214,11931,76876,62094,11931,2667,967,0.12,1384,56401,19969,0.10,1243,32591,8774,0.82,9808,22395,14934,14183,129279,44271
3032,19923,19923,71547,54220,0.84,16661,70378,58123,0.18,3514,-912,-787,19923,74449,56435,19923,2845,913,0.10,2069,79447,21190,0.10,1905,58007,9337,0.79,15766,22454,13537,22742,151607,47573
3033,8572,8572,65724,52851,0.79,6776,67671,58126,0.20,1754,730,34,8572,68528,54984,8572,2738,934,0.08,660,176760,29729,0.07,638,154638,11971,0.78,6711,19594,12949,9773,162246,81317
3034,6884,6884,62695,50430,0.77,5316,64231,55605,0.23,1559,1241,292,6884,65307,52328,6884,2546,804,0.09,606,91176,28472,0.08,562,70804,11862,0.77,5309,18408,11983,7796,167680,65763
3036,3834,3834,71640,52708,0.74,2845,67649,56452,0.22,841,932,0,3834,74802,55322,3834,3080,900,0.08,299,102110,32226,0.07,286,77339,13178,0.76,2927,23643,14065,4319,262599,98046
3037,29747,29747,57387,49570,0.85,25207,59752,53689,0.16,4799,-2785,-2238,29747,59675,51429,29747,2268,928,0.09,2610,60119,26975,0.08,2480,40893,12250,0.79,23529,15108,10695,32486,97672,45723
3038,16622,16622,58450,48762,0.81,13420,61102,53536,0.21,3487,-141,-281,16622,60903,50700,16622,2435,874,0.08,1379,72282,28996,0.08,1322,53066,12197,0.77,12870,16157,11060,18698,150438,64728
3039,10844,10844,80874,59486,0.82,8902,79166,62616,0.18,1922,-367,-258,10844,84005,61802,10844,3051,954,0.09,971,99877,23395,0.08,893,72769,9202,0.81,8750,26695,15513,12155,197183,68338
3040,18244,18244,83071,58718,0.80,14566,75039,59561,0.19,3392,-417,-275,18244,86505,61514,18244,3370,1000,0.09,1577,132406,25236,0.08,1480,102476,10161,0.80,14623,28147,15439,20381,231470,76097
3041,8477,8477,75433,57062,0.79,6668,73766,60924,0.19,1621,-86,-303,8477,78590,59834,8477,3110,962,0.08,670,182110,25084,0.07,629,165188,10844,0.79,6708,24381,15089,9369,225838,92839
3042,10133,10133,66322,55315,0.82,8288,68288,60401,0.18,1792,-737,-667,10133,69171,57827,10133,2790,1034,0.10,963,99570,24690,0.09,894,84777,10898,0.80,8126,19075,13674,11581,151278,74968
3043,10108,10108,57767,49206,0.80,8124,60463,54604,0.15,1477,-738,-538,10108,60100,51075,10108,2311,919,0.10,983,64132,27610,0.09,931,47206,11724,0.78,7841,15691,10962,11874,126705,59118
3044,17547,17547,67857,56577,0.84,14669,69251,60914,0.18,3074,30,-324,17547,70717,58960,17547,2812,997,0.10,1837,56995,23084,0.10,1727,36834,9392,0.82,14301,19471,13617,19607,138988,60648
3046,22010,22010,55002,46100,0.83,18217,58046,51060,0.12,2628,-500,-906,22010,57026,47884,22010,1975,726,0.12,2739,48669,22204,0.12,2533,32465,9337,0.76,16668,14845,10389,24222,90295,30863
3047,9474,9474,41043,34044,0.76,7240,44069,39896,0.06,611,-509,-325,9474,42491,35454,9474,1429,410,0.18,1718,45299,25914,0.17,1611,30640,12153,0.67,6378,9765,6494,10708,46754,10504
3048,7574,7574,41416,36766,0.75,5694,45348,42935,0.08,601,-553,-192,7574,42886,38040,7574,1459,424,0.16,1218,66429,29642,0.15,1158,50982,14442,0.69,5198,9543,6939,8469,50650,14236
3049,5794,5794,58470,50578,0.83,4835,60829,54294,0.15,876,-1736,-1140,5794,60931,52518,5794,2432,982,0.09,510,62126,28676,0.08,489,45022,13434,0.80,4643,15259,10858,6603,133132,60547
3051,9223,9223,67138,48818,0.83,7685,65649,53817,0.14,1282,252,38,9223,70035,50416,9223,2809,632,0.12,1104,70379,20062,0.11,985,45844,10323,0.75,6906,22196,12786,11706,107450,18951
3052,3998,3998,67302,43468,0.81,3246,62560,46674,0.12,497,2193,898,3998,70033,45688,3998,2702,504,0.12,475,82344,18000,0.10,408,60084,7354,0.71,2850,24368,11965,4656,175037,19552
3053,8869,8869,58009,37809,0.80,7118,55943,41335,0.10,927,1846,1276,8869,60561,39625,8869,2450,406,0.11,1002,65379,16851,0.09,837,43060,8906,0.67,5902,20892,10864,11573,115970,8876
3054,5866,5866,87321,56031,0.78,4604,77375,56368,0.15,901,3263,1846,5866,91322,58747,5866,3932,885,0.14,812,93859,27888,0.13,760,47664,10294,0.80,4721,30523,14325,7108,245057,49634
3055,9828,9828,66184,52688,0.86,8486,65627,55835,0.13,1322,846,171,9828,68605,54537,9828,2394,814,0.11,1113,54400,18020,0.10,1003,32567,7763,0.81,7930,19125,12379,11557,130467,40411
3056,18107,18107,68224,54937,0.87,15683,67266,57546,0.13,2301,1542,329,18107,70715,57295,18107,2451,828,0.13,2342,57884,18950,0.12,2113,34061,7835,0.83,14943,19563,12928,21848,115742,36703
3057,9611,9611,70464,59681,0.88,8454,69709,62166,0.12,1172,1687,530,9611,73000,61972,9611,2486,918,0.13,1225,44711,17796,0.12,1125,24267,7195,0.84,8107,19821,14272,11175,107448,40412
3058,22216,22216,64296,51771,0.84,18647,65092,55396,0.15,3441,1329,103,22216,66652,53774,22216,2323,836,0.12,2697,64289,21497,0.11,2463,45632,9659,0.80,17673,18495,12405,25736,121268,50145
3059,11828,11828,63283,51871,0.81,9538,63489,55802,0.19,2270,-519,-1032,11828,66077,54386,11828,2752,1044,0.10,1164,122028,31764,0.09,1123,100373,14715,0.80,9437,17888,12225,12419,137681,51706
3060,7469,7469,48833,39701,0.77,5768,53340,45852,0.13,939,669,56,7469,50676,41064,7469,1824,550,0.16,1186,50546,24768,0.15,1118,36251,12112,0.71,5292,13213,8535,7985,80783,26171
3061,2279,2279,47755,38541,0.72,1644,48801,45055,0.10,233,1966,773,2279,49640,40000,2279,1852,441,0.16,376,117283,35338,0.16,359,102023,18588,0.72,1632,12423,7389,2623,66431,17211
3062,85,85,99990,72764,0.82,70,60050,56534,0.09,8,-8049,-2016,85,102475,73705,85,2485,330,0.07,6,24210,24665,0.07,6,13911,13291,0.85,72,34289,19967,94,252520,79055
3063,357,357,67533,53194,0.78,280,66840,53040,0.20,72,-284,-370,357,70560,54963,357,2967,910,0.07,25,30818,14730,0.07,24,29180,11614,0.78,278,20841,12508,398,227196,80811
3064,54217,54217,50969,45309,0.82,44651,54789,50542,0.11,5711,-3165,-2464,54217,52894,46944,54217,1907,753,0.14,7585,52173,26545,0.13,7105,36405,12582,0.77,41500,12626,9237,55536,62398,24198
3065,7115,7115,86056,59971,0.83,5887,79281,63220,0.15,1046,862,642,7115,89764,63198,7115,3652,966,0.14,1006,98434,24980,0.13,952,59397,10594,0.82,5849,28775,15498,9170,160980,35497
3066,6498,6498,75765,61882,0.86,5619,73567,64278,0.13,817,-189,-174,6498,78468,64215,6498,2667,917,0.13,872,67767,23500,0.13,820,42036,10194,0.84,5477,22349,15209,7968,103743,32668
3067,6654,6654,77663,62456,0.87,5765,74345,64079,0.13,878,-236,-94,6654,80582,64917,6654,2876,971,0.12,773,104346,21882,0.11,718,75999,8426,0.85,5631,23453,14949,7911,129684,37174
3068,12952,12952,95294,63406,0.82,10580,83998,65290,0.17,2144,1382,662,12952,98952,66240,12952,3595,1114,0.15,1902,101911,24423,0.14,1788,60674,9872,0.84,10827,32894,16342,15631,214692,62023
3070,16627,16627,82409,60816,0.84,13986,78174,62956,0.16,2730,2049,705,16627,85886,63329,16627,3404,1033,0.14,2366,69157,20844,0.13,2170,41859,8808,0.83,13843,26243,15224,19633,173128,64328
3071,12161,12161,70066,56254,0.85,10357,69361,58879,0.14,1749,987,288,12161,72592,58408,12161,2483,905,0.14,1668,48084,19758,0.13,1549,26537,8412,0.83,10060,20175,13064,14208,132294,56696
3072,21328,21328,62470,51239,0.84,17980,63372,55000,0.15,3161,983,176,21328,64678,52955,21328,2185,794,0.12,2659,53044,21215,0.12,2460,34243,8816,0.80,17031,17438,11765,24866,112301,45098
3073,28957,28957,54760,46512,0.82,23695,57150,50961,0.13,3901,1953,743,28957,56712,48193,28957,1926,665,0.12,3535,47863,20764,0.11,3297,32314,8728,0.77,22260,14404,10078,33245,96015,38531
3074,10664,10664,48053,41924,0.80,8496,50212,46435,0.13,1390,978,-62,10664,49795,43446,10664,1719,561,0.13,1405,45255,24040,0.12,1295,30145,10632,0.73,7817,12075,8082,12289,71520,25487
3075,11662,11662,48439,42277,0.81,9396,51522,46976,0.14,1646,308,-266,11662,50369,43798,11662,1726,570,0.12,1454,50229,26506,0.12,1351,33201,11625,0.74,8650,11989,8335,13245,72184,27598
3076,18605,18605,51397,45947,0.83,15362,54611,50437,0.13,2398,-1842,-1962,18605,53330,47518,18605,1919,725,0.12,2200,48683,28622,0.11,2053,31144,11858,0.77,14414,12562,9194,20366,80112,33805
3078,7974,7974,86885,59748,0.82,6557,79064,61873,0.18,1410,475,722,7974,90396,62310,7974,3456,1057,0.13,1042,85214,21367,0.12,971,49676,9021,0.82,6504,29640,15568,9091,209438,75694
3079,11439,11439,91221,59973,0.75,8620,81867,63288,0.20,2326,381,81,11439,95410,63264,11439,4095,978,0.10,1159,136309,25830,0.09,1070,96386,11332,0.79,8996,33343,16788,12664,289974,96873
3081,7995,7995,56166,47904,0.82,6569,58992,52248,0.12,930,-1585,-1054,7995,58350,49500,7995,2158,745,0.13,1068,54158,24503,0.13,1002,37084,11656,0.77,6163,15049,10496,9385,93603,33777
3082,17665,17665,54356,47467,0.83,14652,57193,51735,0.17,2947,-714,-479,17665,56491,49304,17665,2117,808,0.09,1655,61576,27252,0.09,1559,43463,11244,0.78,13748,13965,9927,19982,113627,48973
3083,18806,18806,53292,43194,0.79,14919,56182,48802,0.17,3214,-839,-593,18806,55377,45023,18806,2051,600,0.11,2022,65620,21882,0.10,1842,49460,9086,0.73,13656,15133,10022,21341,114983,40300
3084,16802,16802,77318,55684,0.76,12771,75903,61565,0.20,3305,674,-54,16802,80565,58178,16802,3212,921,0.09,1583,119407,23949,0.09,1458,86602,9818,0.77,12948,26434,15200,18585,248110,94895
3085,8448,8448,67494,54252,0.80,6732,71364,61503,0.17,1469,-1005,-580,8448,70165,56645,8448,2638,914,0.08,707,61429,21840,0.08,671,39768,8250,0.77,6528,20760,13994,9455,184626,86983
3086,65,65,101383,68086,0.77,50,100074,69276,0.08,5,1365,1407,65,104072,68940,65,2689,732,0.12,8,48840,61812,0.14,9,15917,19316,0.85,55,36148,15211,75,230079,80326
