Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2164,9922,9922,53506,45448,0.80,7972,56040,51059,0.17,1680,2281,306,9922,55515,47224,9922,1962,648,0.10,993,79155,30700,0.10,955,60239,14510,0.75,7452,14297,9974,10985,93231,31607
2165,17920,17920,46856,40406,0.80,14378,49692,45728,0.15,2632,1110,130,17920,48479,41797,17920,1563,510,0.11,1960,74253,34325,0.10,1863,55370,16002,0.72,12937,11511,8136,20056,60387,17901
2166,26118,26118,45882,40112,0.82,21335,47900,44219,0.16,4054,584,-80,26118,47348,41380,26118,1438,435,0.09,2226,90916,33506,0.08,2080,73581,15508,0.72,18764,11170,7748,29481,51901,16191
2167,6100,6100,57750,51317,0.87,5289,62441,56997,0.17,1058,-3310,-2390,6100,59821,53010,6100,2054,895,0.08,487,47803,23302,0.08,465,34368,11351,0.78,4787,15394,11658,6691,83390,37972
2168,20343,20343,48976,44509,0.84,17065,52470,49275,0.12,2534,-1151,-1348,20343,50792,46280,20343,1803,670,0.09,1765,73326,35235,0.08,1679,55594,16376,0.75,15339,11800,8880,23166,63095,22629
2170,56545,56545,54323,47555,0.83,46998,57882,52897,0.14,8184,-1081,-1540,56545,56389,49291,56545,2042,747,0.10,5695,110107,32042,0.10,5405,92839,15304,0.77,43377,14182,10241,62527,80533,30223
2171,21548,21548,60930,52242,0.85,18355,63243,56994,0.20,4412,-1577,-2196,21548,63356,54340,21548,2395,992,0.09,1974,77943,35488,0.09,1879,55564,17963,0.80,17307,16516,11665,22862,93502,44536
2172,1736,1736,77358,64844,0.86,1490,76899,69561,0.32,548,-1515,-1592,1736,80569,67188,1736,3209,1201,0.07,119,71945,30019,0.06,109,43897,17823,0.82,1420,24198,16619,1870,181939,95480
2173,8812,8812,64989,58632,0.88,7774,68759,64390,0.20,1783,-3304,-2465,8812,67555,60829,8812,2501,1139,0.08,667,82371,24900,0.07,623,66865,12236,0.82,7235,17736,13756,9697,123959,63930
2174,5590,5590,63939,55920,0.88,4926,68255,61494,0.21,1160,-3102,-2999,5590,66372,57980,5590,2395,1117,0.09,500,64264,29914,0.09,480,43616,14341,0.83,4627,17221,12934,5595,66634,36575
2175,1126,1126,74161,51152,0.73,823,62737,53020,0.28,317,8220,4991,1126,77077,53354,1126,2822,674,0.09,105,173495,58982,0.09,103,143808,28789,0.77,862,25130,12921,1210,216138,46763
2176,24514,24514,54801,46026,0.81,19766,57142,51480,0.22,5273,2112,685,24514,56825,47874,24514,1971,685,0.09,2252,116116,35030,0.09,2160,96183,16843,0.76,18576,14723,10099,26788,96157,36018
2177,8167,8167,51463,45776,0.83,6795,54674,50655,0.17,1366,-278,-80,8167,53252,47398,8167,1776,678,0.08,691,69836,32763,0.08,654,52017,15414,0.76,6230,12863,9368,9122,70003,26605
2178,2275,2275,68158,49242,0.78,1765,57720,49320,0.27,611,5726,3913,2275,70756,51192,2275,2452,550,0.09,204,226506,49910,0.09,201,197032,27871,0.79,1788,21264,11596,2427,213311,42458
2179,6698,6698,60211,53190,0.84,5593,62912,58331,0.15,1033,557,-911,6698,62615,55288,6698,2327,906,0.10,639,73306,26714,0.09,626,56497,14064,0.80,5363,16260,12056,6860,88363,35419
2190,12544,12544,50594,39320,0.76,9522,54806,46743,0.16,1982,780,-216,12544,52504,40738,12544,1874,490,0.14,1747,75978,36372,0.13,1652,57253,18730,0.72,8994,13971,8574,13360,71122,21200
2191,3430,3430,59362,46218,0.78,2667,62456,52432,0.23,780,1363,-250,3430,61473,47835,3430,2092,648,0.13,429,80392,34925,0.12,404,58800,16026,0.76,2597,17271,10509,3756,105213,43178
2192,7640,7640,50762,42613,0.79,6054,54541,48668,0.15,1171,1910,571,7640,52577,44259,7640,1774,576,0.14,1057,123812,28355,0.13,975,112787,13665,0.74,5640,13174,9021,8543,66459,23959
2193,11198,11198,64970,51176,0.82,9180,67653,57416,0.18,2046,1086,78,11198,67141,53025,11198,2137,736,0.12,1337,65719,26586,0.11,1219,43653,10260,0.78,8712,19539,12290,12613,116476,41913
2194,15361,15361,45536,36768,0.80,12269,48349,42000,0.14,2119,170,-306,15361,46928,37965,15361,1342,399,0.14,2088,68063,24914,0.12,1846,56050,9494,0.70,10788,11721,6936,16979,48831,12476
